system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
nextflow,pipeline,short,1,4.849185000,0.103951000,0.081062000,0.083767000,,,,,,
nextflow,pipeline,medium,1,60.082560000,0.102616000,0.082272000,0.084587000,,,,,,
nextflow,pipeline,long,1,277.439371000,0.104543000,0.084926000,0.097561000,,,,,,
nextflow,scatter_gather,short,1,5.117067000,0.112266000,,,0.098230000,0.101927000,0.079839000,0.079145000,0.000000000,4.633595000
nextflow,scatter_gather,short,2,2.830908000,0.110921000,,,0.099308000,0.102041000,0.094770000,0.078501000,0.000692000,2.339709000
nextflow,scatter_gather,short,4,1.736842000,0.105944000,,,0.094905000,0.132395000,0.117718000,0.081813000,0.006230000,1.186129000
nextflow,scatter_gather,medium,1,60.363069000,0.111511000,,,0.098026000,0.099933000,0.096213000,0.075778000,0.000000000,59.883260000
nextflow,scatter_gather,medium,2,30.951473000,0.108155000,,,0.089156000,0.097446000,0.100517000,0.075072000,0.001173000,30.468151000
nextflow,scatter_gather,medium,4,15.772943000,0.113214000,,,0.090189000,0.110276000,0.109901000,0.073420000,0.007395000,15.261503000
nextflow,scatter_gather,long,1,276.135219000,0.107086000,,,0.098874000,0.095926000,0.106525000,0.074795000,0.000000000,275.645704000
nextflow,scatter_gather,long,2,139.917748000,0.109120000,,,0.091929000,0.101455000,0.099699000,0.074224000,0.002561000,139.447547000
nextflow,scatter_gather,long,4,70.473558000,0.104118000,,,0.096850000,0.104777000,0.114137000,0.076420000,0.007190000,69.978680000
