system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
nextflow,pipeline,short,1,3.488971779,0.127972099,0.099766500,0.126656384,,,,,,
nextflow,pipeline,medium,1,40.979537718,0.126421920,0.098295836,0.135361976,,,,,,
nextflow,pipeline,long,1,192.612001524,0.138957395,0.113316256,0.139549490,,,,,,
nextflow,scatter_gather,short,1,3.725210890,0.109853696,,,0.092646478,0.099998577,0.108931279,0.081738824,0.000000000,3.217045870
nextflow,scatter_gather,short,2,2.155760468,0.109750916,,,0.094941138,0.101154022,0.109601076,0.080486270,0.006336523,1.647475489
nextflow,scatter_gather,short,4,1.373683467,0.114078197,,,0.093762403,0.109936770,0.116482567,0.079695512,0.020514612,0.824661501
nextflow,scatter_gather,medium,1,42.324617194,0.113920384,,,0.094506917,0.111701743,0.135945718,0.102857000,0.000000000,41.791854277
nextflow,scatter_gather,medium,2,21.815961918,0.123005107,,,0.112778971,0.115033901,0.134087110,0.080260808,0.006443703,21.175923694
nextflow,scatter_gather,medium,4,11.427546902,0.113599986,,,0.095006785,0.104766804,0.119079013,0.082382199,0.022216286,10.901259432
nextflow,scatter_gather,long,1,192.387112410,0.131487155,,,0.124054367,0.124943473,0.142660477,0.106553377,0.000000000,191.728812485
nextflow,scatter_gather,long,2,100.071090886,0.134363068,,,0.122184801,0.123205027,0.143323381,0.105723081,0.007013030,99.478251121
nextflow,scatter_gather,long,4,50.329115388,0.120975125,,,0.107402273,0.105490281,0.149503923,0.103878578,0.025718910,49.758943697
