system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s
streamflow,pipeline,long,1,188.513651,191.600234,3.086583
streamflow,pipeline,medium,1,40.544368,44.218011,3.711733
streamflow,pipeline,short,1,3.376376,5.261849,1.905060
streamflow,scatter_gather,long,1,196.789074,202.163771,5.353000
streamflow,scatter_gather,long,2,99.979381,106.827309,4.588982
streamflow,scatter_gather,long,4,49.710577,53.595330,3.884753
streamflow,scatter_gather,medium,1,43.027452,46.337284,3.687329
streamflow,scatter_gather,medium,2,21.841965,25.147606,3.414795
streamflow,scatter_gather,medium,4,11.056577,14.730886,3.697237
streamflow,scatter_gather,short,1,3.473273,5.686489,2.233740
streamflow,scatter_gather,short,2,1.881187,4.002281,2.128923
streamflow,scatter_gather,short,4,1.070805,3.247963,2.167778
nextflow,pipeline,long,1,189.210172,192.063689,3.767751
nextflow,pipeline,medium,1,40.555484,44.177633,3.622149
nextflow,pipeline,short,1,3.279299,6.742587,3.463288
nextflow,scatter_gather,long,1,197.440137,202.489434,5.016201
nextflow,scatter_gather,long,2,99.989240,104.610290,6.948427
nextflow,scatter_gather,long,4,50.500233,53.549274,2.691765
nextflow,scatter_gather,medium,1,42.914874,46.419449,4.052998
nextflow,scatter_gather,medium,2,21.811727,25.097267,3.261169
nextflow,scatter_gather,medium,4,11.079384,14.779732,3.635328
nextflow,scatter_gather,short,1,3.483333,7.141554,3.659552
nextflow,scatter_gather,short,2,1.898945,5.543217,3.644273
nextflow,scatter_gather,short,4,1.080230,4.764547,3.691716
merlin,pipeline,long,1,184.438680,188.365925,2.583934
merlin,pipeline,medium,1,41.228585,45.109029,4.080663
merlin,pipeline,short,1,3.268850,4.905146,1.606723
merlin,scatter_gather,long,1,196.654615,198.435981,3.743471
merlin,scatter_gather,long,2,98.459097,102.148150,3.662541
merlin,scatter_gather,long,4,50.862761,52.511599,1.648838
merlin,scatter_gather,medium,1,42.872945,45.136975,2.339466
merlin,scatter_gather,medium,2,21.914759,24.024574,2.051743
merlin,scatter_gather,medium,4,11.239999,13.120842,1.802253
merlin,scatter_gather,short,1,3.455129,5.319900,1.875238
merlin,scatter_gather,short,2,1.876615,3.774688,1.892660
merlin,scatter_gather,short,4,1.039049,3.040342,2.008266
aiida,pipeline,long,1,222.711588,229.740308,7.028720
aiida,pipeline,medium,1,47.794073,56.623695,8.829622
aiida,pipeline,short,1,3.819828,12.310153,8.497538
aiida,scatter_gather,long,1,215.810303,223.440325,7.630022
aiida,scatter_gather,long,2,109.028777,121.730550,11.284078
aiida,scatter_gather,long,4,56.045863,70.446221,14.037478
aiida,scatter_gather,medium,1,46.210075,59.145296,12.613245
aiida,scatter_gather,medium,2,23.775382,38.100994,14.440983
aiida,scatter_gather,medium,4,11.980981,26.807963,14.703932
aiida,scatter_gather,short,1,3.787379,16.421090,12.660470
aiida,scatter_gather,short,2,2.027517,15.392950,13.398806
aiida,scatter_gather,short,4,1.134390,16.082642,14.876723
