system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
nextflow,pipeline,short,1,4.719040000,7.175057000,2.456017000,52.044844,1.520448439,,
nextflow,pipeline,medium,1,59.771217000,63.077675000,3.306458000,5.531857,1.055318566,,
nextflow,pipeline,long,1,277.007304000,280.217870000,3.210566000,1.159019,1.011590185,,
nextflow,scatter_gather,short,1,4.845374000,8.024202000,3.178828000,65.605421,1.656054208,4.621436000,4.633595000
nextflow,scatter_gather,short,2,2.555078000,5.629486000,3.074408000,120.325407,2.203254069,2.342359000,2.339709000
nextflow,scatter_gather,short,4,1.394423000,4.343750000,2.949327000,211.508775,3.115087746,1.176299000,1.186129000
nextflow,scatter_gather,medium,1,60.399210000,63.385696000,2.986486000,4.944578,1.049445779,60.181050000,59.883260000
nextflow,scatter_gather,medium,2,30.415755000,34.195525000,3.779770000,12.427014,1.124270136,30.222067000,30.468151000
nextflow,scatter_gather,medium,4,15.501278000,18.574264000,3.072986000,19.824082,1.198240816,15.295883000,15.261503000
nextflow,scatter_gather,long,1,277.115298000,279.050339000,1.935041000,0.698280,1.006982801,276.897964000,275.645704000
nextflow,scatter_gather,long,2,140.040977000,142.607319000,2.566342000,1.832565,1.018325650,139.840570000,139.447547000
nextflow,scatter_gather,long,4,70.144271000,73.248597000,3.104326000,4.425630,1.044256301,69.943652000,69.978680000
